"Location","Parameter","AltitudeGroup","LanduseGroup","Median","LAWAState","Region","Scope","StateGroup"
"100018","TP","All","Forest","0.0055",1,"Marlborough","Catchment","Catchment|Forest"
"100018","ECOLI","All","Forest","6",1,"Marlborough","Catchment","Catchment|Forest"
"100018","BDISC","Upland","Forest","3.13",2,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","TURB","Upland","Forest","1.28",3,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","NH4","Upland","Forest","0.0035",1,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","TON","Upland","Forest","0.0104",1,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","TN","Upland","Forest","0.036",1,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","DRP","Upland","Forest","0.0048",2,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","TP","Upland","Forest","0.005",1,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","ECOLI","Upland","Forest","4",1,"Marlborough","Catchment","Catchment|Upland|Forest"
"100018","TURB","Lowland","Rural","2.3",2,"Marlborough","Catchment","Catchment|Lowland|Rural"
"100018","NH4","Lowland","Rural","0.005",1,"Marlborough","Catchment","Catchment|Lowland|Rural"
"100018","TON","Lowland","Rural","0.178",2,"Marlborough","Catchment","Catchment|Lowland|Rural"
"100018","DRP","Lowland","Rural","0.0115",3,"Marlborough","Catchment","Catchment|Lowland|Rural"
"100018","ECOLI","Lowland","Rural","69",1,"Marlborough","Catchment","Catchment|Lowland|Rural"
"100018","BDISC","Lowland","Forest","3.03",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","TURB","Lowland","Forest","1.21",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","NH4","Lowland","Forest","0.004",1,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","TON","Lowland","Forest","0.1093",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","TN","Lowland","Forest","0.135",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","DRP","Lowland","Forest","0.005",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","TP","Lowland","Forest","0.006",1,"Marlborough","Catchment","Catchment|Lowland|Forest"
"100018","ECOLI","Lowland","Forest","33",2,"Marlborough","Catchment","Catchment|Lowland|Forest"
"1003","TURB","All","All","1.45",2,"Marlborough","Catchment","Catchment|All"
"1003","NH4","All","All","0.005",1,"Marlborough","Catchment","Catchment|All"
"1003","TON","All","All","0.025",1,"Marlborough","Catchment","Catchment|All"
"1003","DRP","All","All","0.009",2,"Marlborough","Catchment","Catchment|All"
"1003","ECOLI","All","All","110",2,"Marlborough","Catchment","Catchment|All"
"1003","TURB","Lowland","All","1.45",2,"Marlborough","Catchment","Catchment|Lowland"
"1003","NH4","Lowland","All","0.005",1,"Marlborough","Catchment","Catchment|Lowland"
"1003","TON","Lowland","All","0.025",1,"Marlborough","Catchment","Catchment|Lowland"
"1003","DRP","Lowland","All","0.009",2,"Marlborough","Catchment","Catchment|Lowland"
"1003","ECOLI","Lowland","All","110",2,"Marlborough","Catchment","Catchment|Lowland"
"1003","TURB","All","Rural","1.45",2,"Marlborough","Catchment","Catchment|Rural"
"1003","NH4","All","Rural","0.005",1,"Marlborough","Catchment","Catchment|Rural"
"1003","TON","All","Rural","0.025",1,"Marlborough","Catchment","Catchment|Rural"
