"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","Lat","Long"
"212","SQ35236","Purau Stream Above Main Road Bridge","ECAN-00190","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.6398797782658","172.750504795432"
"213","SQ35545","Teddington Stream Blatchford property","ECAN-00191","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.6737951513541","172.65617733408"
"214","SQ35792","Quailburn Quailburn Road","ECAN-00186","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","-44.4190382299762","169.900486393821"
"215","SQ35818","Clarence River over Jacks Pass","ECAN-00192","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.4577018819407","172.841467756309"
"216","","Wairarapa Stream ","CCC-00001","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5205388507386","172.607143039645"
"217","","Waimairi Stream","CCC-00002","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5217171712234","172.606912800299"
"218","","Avon River at Mona Vale","CCC-00003","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5228555508091","172.608167139613"
"219","","Avon River at Carlton Mill Corner ","CCC-00004","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5209961705552","172.625532730356"
"220","","Riccarton Main Drain","CCC-00005","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5319746913629","172.616582809408"
"221","","Addington Brook","CCC-00006","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5338815106614","172.621618409949"
"222","","Avon River at Manchester Street ","CCC-00007","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5280441411019","172.639752459984"
"223","","Dudley Creek","CCC-00008","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5130764610211","172.660679760413"
"224","","Avon River at Dallington Terrace/Gayhurst Road","CCC-00009","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5215813613539","172.672840599418"
"225","","Horseshoe Lake Discharge","CCC-00010","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5028421811862","172.682610700532"
"226","","Avon River at Avondale Road Bridge","CCC-00011","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5004888912498","172.687692459527"
"227","","Avon River at Pages/Seaview Bridge","CCC-00012","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5092882811924","172.721444749668"
"228","","Avon River at Bridge Street ","CCC-00013","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5252884612488","172.723932149484"
"229","","Heathcote River at Templetons Road ","CCC-00014","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5601021708042","172.577963169886"
"230","","Haytons Stream at Retention Basin ","CCC-00015","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5538155707926","172.579318489994"
"231","","Curletts Road Stream Upstream of Heathcote River","CCC-00016","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5528209907248","172.590562300328"
"232","","Curletts Road Stream at Motorway ","CCC-00017","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5469744411829","172.584129790006"
"233","","Heathcote River at Rose Street ","CCC-00018","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5690437806562","172.612400950429"
"234","","Cashmere Stream at Sutherlands Road ","CCC-00019","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","-43.5863014113252","172.579899280127"
"235","","Cashmere Stream at Worsleys Road","CCC-00020","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5759248107336","172.616442680256"
"236","","Heathcote River at Ferniehurst Street","CCC-00021","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5718168011608","172.6180406504"
"237","","Heathcote River at Bowenvale Avenue","CCC-00022","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5703855413648","172.643315069598"
"238","","Heathcote River at Opawa Road/Clarendon Terrace ","CCC-00023","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5539299813105","172.666603039551"
"239","","Heathcote River at MacKenzie Avenue ","CCC-00024","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5512277509994","172.672174180222"
"240","","Heathcote River at Tunnel Road","CCC-00026","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","-43.5546470308336","172.691399960458"
